,date,Température maximale,Température minimale,Vitesse du vent,Température du vent,Humidité,Visibilité,Couverture nuageuse,Indice de chaleur,Point de rosée,Pression,Heure du lever du soleil,Heure du coucher du soleil,Heure du coucher du soleil,Durée du jour
0,2/01/2009,17°,13°,15km/h,13°,1mm,63%,9.375km,47%,17,10°C,1021hPa,07:33:00,17:15:00,9:42:0
1,3/01/2009,14°,13°,22km/h,12°,1mm,81%,10km,48%,14,10°C,1016hPa,07:33:00,17:16:00,9:43:0
2,4/01/2009,13°,11°,13km/h,10°,5mm,85%,9.375km,63%,13,10°C,1015hPa,07:33:00,17:17:00,9:44:0
3,5/01/2009,12°,11°,28km/h,8°,5mm,78%,9.625km,44%,12,10°C,1015hPa,07:33:00,17:17:00,9:44:0
4,6/01/2009,12°,9°,16km/h,7°,0mm,72%,10km,20%,12,7°C,1016hPa,07:33:00,17:18:00,9:45:0
5,7/01/2009,15°,11°,19km/h,8°,68%,10km,29%,15,8°C,1014hPa,07:33:00,17:19:00,9:46:0,
6,8/01/2009,15°,11°,14km/h,13°,0mm,75%,10km,20%,15,10°C,1017hPa,07:33:00,17:20:00,9:47:0
7,9/01/2009,15°,13°,7km/h,14°,1mm,77%,9.875km,18%,16,11°C,1019hPa,07:33:00,17:21:00,9:48:0
8,10/01/2009,14°,11°,25km/h,9°,1mm,84%,10km,41%,14,9°C,1022hPa,07:33:00,17:22:00,9:49:0
9,11/01/2009,15°,13°,18km/h,12°,1mm,83%,9.875km,60%,15,11°C,1023hPa,07:32:00,17:23:00,9:51:0
10,12/01/2009,14°,13°,13km/h,12°,14mm,94%,8.75km,78%,14,13°C,1020hPa,07:32:00,17:24:00,9:52:0
11,13/01/2009,15°,13°,26km/h,12°,7mm,91%,9.375km,76%,15,13°C,1008hPa,07:32:00,17:25:00,9:53:0
12,14/01/2009,14°,12°,33km/h,9°,1mm,78%,9km,48%,14,11°C,1017hPa,07:32:00,17:26:00,9:54:0
13,15/01/2009,13°,11°,15km/h,10°,0mm,78%,10km,23%,14,8°C,1020hPa,07:31:00,17:27:00,9:56:0
14,16/01/2009,13°,10°,8km/h,12°,74%,10km,4%,16,9°C,1024hPa,07:31:00,17:28:00,9:57:0,
15,17/01/2009,14°,12°,17km/h,11°,76%,10km,4%,15,8°C,1025hPa,07:31:00,17:29:00,9:58:0,
16,18/01/2009,15°,11°,13km/h,11°,86%,10km,21%,16,10°C,1024hPa,07:30:00,17:30:00,10:0:0,
17,19/01/2009,14°,11°,15km/h,10°,80%,10km,13%,14,10°C,1023hPa,07:30:00,17:31:00,10:1:0,
18,20/01/2009,14°,13°,17km/h,11°,0mm,91%,10km,56%,14,11°C,1011hPa,07:29:00,17:32:00,10:3:0
19,21/01/2009,14°,12°,22km/h,11°,5mm,89%,9.625km,75%,14,11°C,1005hPa,07:29:00,17:33:00,10:4:0
20,22/01/2009,12°,11°,53km/h,7°,1mm,81%,10km,76%,12,9°C,1009hPa,07:28:00,17:34:00,10:6:0
21,23/01/2009,15°,12°,27km/h,10°,5mm,93%,9.625km,100%,15,14°C,1007hPa,07:28:00,17:35:00,10:7:0
22,24/01/2009,16°,15°,39km/h,12°,1mm,82%,9.875km,41%,16,13°C,1002hPa,07:27:00,17:36:00,10:9:0
23,25/01/2009,15°,11°,36km/h,8°,1mm,74%,10km,32%,15,9°C,1006hPa,07:27:00,17:37:00,10:10:0
24,26/01/2009,13°,11°,23km/h,8°,1mm,78%,9.375km,31%,13,8°C,1007hPa,07:26:00,17:39:00,10:13:0
25,27/01/2009,12°,9°,37km/h,5°,0mm,73%,10km,38%,12,6°C,1008hPa,07:25:00,17:40:00,10:15:0
26,28/01/2009,13°,11°,47km/h,7°,1mm,69%,10km,61%,13,6°C,1011hPa,07:25:00,17:41:00,10:16:0
27,29/01/2009,13°,11°,28km/h,9°,2mm,88%,9.875km,54%,13,9°C,1016hPa,07:24:00,17:42:00,10:18:0
28,30/01/2009,14°,12°,22km/h,10°,0mm,77%,10km,12%,14,8°C,1016hPa,07:23:00,17:43:00,10:20:0
29,31/01/2009,16°,12°,18km/h,10°,0mm,82%,10km,6%,16,11°C,1015hPa,07:22:00,17:44:00,10:22:0
30,1/02/2009,14°,11°,27km/h,9°,1mm,80%,9.875km,27%,14,9°C,1005hPa,07:22:00,17:45:00,10:23:0
31,2/02/2009,16°,14°,29km/h,12°,0mm,65%,10km,23%,16,8°C,1004hPa,07:21:00,17:46:00,10:25:0
32,3/02/2009,18°,14°,26km/h,11°,1mm,82%,9.375km,35%,18,11°C,1005hPa,07:20:00,17:47:00,10:27:0
33,4/02/2009,16°,13°,16km/h,11°,0mm,69%,10km,12%,17,9°C,1010hPa,07:19:00,17:48:00,10:29:0
34,5/02/2009,18°,14°,19km/h,13°,61%,10km,11%,18,11°C,1010hPa,07:18:00,17:49:00,10:31:0,
35,6/02/2009,18°,14°,19km/h,13°,0mm,64%,10km,16%,18,9°C,1005hPa,07:17:00,17:50:00,10:33:0
36,7/02/2009,12°,11°,31km/h,8°,3mm,89%,9.875km,32%,12,10°C,1001hPa,07:16:00,17:51:00,10:35:0
37,8/02/2009,10°,8°,33km/h,4°,1mm,80%,9.875km,34%,10,5°C,1010hPa,07:15:00,17:52:00,10:37:0
38,9/02/2009,15°,13°,40km/h,10°,0mm,71%,10km,38%,15,10°C,1020hPa,07:14:00,17:53:00,10:39:0
39,10/02/2009,17°,14°,32km/h,13°,0mm,72%,10km,27%,18,11°C,1020hPa,07:13:00,17:55:00,10:42:0
40,11/02/2009,13°,12°,46km/h,8°,2mm,69%,9.75km,35%,13,11°C,1017hPa,07:12:00,17:56:00,10:44:0
41,12/02/2009,11°,10°,39km/h,6°,3mm,72%,9.625km,33%,11,7°C,1013hPa,07:11:00,17:57:00,10:46:0
42,13/02/2009,8°,6°,35km/h,4°,4mm,77%,9.75km,48%,8,5°C,1014hPa,07:10:00,17:58:00,10:48:0
43,14/02/2009,9°,8°,22km/h,5°,1mm,75%,8.875km,63%,9,5°C,1015hPa,07:09:00,17:59:00,10:50:0
44,15/02/2009,10°,9°,24km/h,6°,2mm,69%,9.875km,41%,10,5°C,1024hPa,07:08:00,18:00:00,10:52:0
45,16/02/2009,11°,9°,9km/h,8°,0mm,64%,10km,42%,11,3°C,1024hPa,07:07:00,18:01:00,10:54:0
46,17/02/2009,11°,10°,17km/h,8°,0mm,71%,10km,48%,11,5°C,1022hPa,07:05:00,18:02:00,10:57:0
47,18/02/2009,11°,10°,32km/h,6°,5mm,90%,9km,97%,11,9°C,1018hPa,07:04:00,18:03:00,10:59:0
48,19/02/2009,10°,9°,4km/h,9°,2mm,91%,7km,89%,10,8°C,1020hPa,07:03:00,18:04:00,11:1:0
49,20/02/2009,12°,11°,18km/h,9°,1mm,77%,10km,32%,12,7°C,1026hPa,07:02:00,18:05:00,11:3:0
50,21/02/2009,12°,10°,12km/h,11°,0mm,65%,10km,8%,13,7°C,1027hPa,07:01:00,18:06:00,11:5:0
51,22/02/2009,13°,11°,23km/h,9°,0mm,74%,10km,22%,13,6°C,1024hPa,06:59:00,18:07:00,11:8:0
52,23/02/2009,12°,11°,24km/h,8°,3mm,91%,8.875km,89%,12,9°C,1020hPa,06:58:00,18:08:00,11:10:0
53,24/02/2009,12°,11°,18km/h,9°,6mm,85%,9.625km,61%,12,9°C,1014hPa,06:57:00,18:09:00,11:12:0
54,25/02/2009,11°,10°,36km/h,7°,2mm,81%,9.75km,52%,11,7°C,1025hPa,06:55:00,18:10:00,11:15:0
55,26/02/2009,13°,12°,24km/h,9°,1mm,65%,10km,7%,13,5°C,1028hPa,06:54:00,18:11:00,11:17:0
56,27/02/2009,15°,11°,16km/h,10°,0mm,71%,10km,1%,15,7°C,1024hPa,06:53:00,18:12:00,11:19:0
57,28/02/2009,16°,13°,22km/h,15°,0mm,63%,10km,12%,16,8°C,1020hPa,06:51:00,18:12:00,11:21:0
58,1/03/2009,18°,15°,16km/h,14°,1mm,65%,9.375km,27%,19,11°C,1018hPa,06:50:00,18:13:00,11:23:0
59,2/03/2009,18°,15°,10km/h,16°,0mm,74%,10km,17%,19,12°C,1019hPa,06:49:00,18:14:00,11:25:0
60,3/03/2009,19°,15°,17km/h,15°,0mm,72%,10km,12%,19,12°C,1019hPa,06:47:00,18:15:00,11:28:0
61,4/03/2009,18°,15°,22km/h,13°,6mm,75%,9.625km,29%,18,13°C,1011hPa,06:46:00,18:16:00,11:30:0
62,5/03/2009,14°,12°,46km/h,9°,4mm,60%,9.5km,43%,14,9°C,995hPa,06:44:00,18:17:00,11:33:0
63,6/03/2009,11°,8°,50km/h,4°,5mm,81%,8.5km,73%,11,6°C,997hPa,06:43:00,18:18:00,11:35:0
64,7/03/2009,10°,9°,37km/h,6°,3mm,88%,10km,67%,10,8°C,1009hPa,06:42:00,18:19:00,11:37:0
65,8/03/2009,14°,12°,33km/h,10°,0mm,74%,10km,12%,14,9°C,1018hPa,06:40:00,18:20:00,11:40:0
66,9/03/2009,17°,13°,29km/h,12°,76%,10km,9%,17,10°C,1021hPa,06:39:00,18:21:00,11:42:0,
67,10/03/2009,15°,13°,19km/h,12°,71%,10km,6%,15,8°C,1023hPa,06:37:00,18:22:00,11:45:0,
68,11/03/2009,16°,13°,35km/h,11°,71%,10km,7%,16,9°C,1022hPa,06:36:00,18:23:00,11:47:0,
69,12/03/2009,16°,14°,25km/h,12°,71%,10km,16%,16,10°C,1026hPa,06:34:00,18:24:00,11:50:0,
70,13/03/2009,17°,13°,9km/h,14°,67%,10km,2%,19,11°C,1026hPa,06:33:00,18:25:00,11:52:0,
71,14/03/2009,19°,15°,8km/h,17°,66%,10km,4%,25,13°C,1022hPa,06:32:00,18:25:00,11:53:0,
72,15/03/2009,19°,16°,11km/h,19°,0mm,68%,10km,3%,21,13°C,1022hPa,06:30:00,18:26:00,11:56:0
73,16/03/2009,15°,13°,17km/h,12°,1mm,75%,8.875km,35%,15,10°C,1020hPa,06:29:00,18:27:00,11:58:0
74,17/03/2009,16°,15°,21km/h,14°,1mm,81%,10km,29%,16,11°C,1024hPa,06:27:00,18:28:00,12:1:0
75,18/03/2009,16°,14°,15km/h,14°,0mm,66%,10km,16%,16,9°C,1025hPa,06:26:00,18:29:00,12:3:0
76,19/03/2009,17°,14°,12km/h,14°,0mm,72%,10km,11%,18,10°C,1022hPa,06:24:00,18:30:00,12:6:0
77,20/03/2009,17°,15°,33km/h,13°,2mm,65%,10km,22%,17,9°C,1014hPa,06:23:00,18:31:00,12:8:0
