,CodeVehicule_id,puissanceFiscal,typeImmatriculation,energie,dateInsertion,codeMarque,numImmatriculation
307,217076,5,TU,ESSENCE,2017-10-05,198,4547TU42
333,225545,10,TU,GASOIL,2017-10-11,178,1533TU98
336,226999,5,TU,GASOIL,2017-10-05,198,4250TU93
414,1077414,6,TU,ESSENCE,2017-10-05,808,2150TU145
465,1084838,6,TU,GASOIL,2017-10-05,29,1471TU119
533,729894,10,TU,GASOIL,2017-10-05,347,4376TU175
577,262773,5,TU,ESSENCE,2017-10-05,12,266TU182
620,268920,4,TU,ESSENCE,2017-10-05,182,1488TU193
688,1109717,8,TU,GASOIL,2017-10-05,338,4156TU138
823,337840,7,TU,ESSENCE,2017-10-05,107,7768TU141
957,387657,5,TU,ESSENCE,2017-10-05,107,4632TU76
1001,404255,4,TU,ESSENCE,2017-10-05,119,2859TU96
1086,437262,5,TU,ESSENCE,2017-10-05,808,704TU166
1137,460258,7,TU,GASOIL,2017-10-05,103,1108TU188
1144,807238,5,TU,GASOIL,2017-10-05,12,2TU182
1190,813988,9,TU,GASOIL,2017-10-05,119,5516TU110
1232,502579,6,TU,ESSENCE,2017-10-20,29,2586TU162
1239,506679,5,TU,GASOIL,2017-10-05,12,431TU185
1257,517429,5,TU,ESSENCE,2017-10-05,206,4923TU152
1260,519204,7,TU,GASOIL,2017-10-05,30,8151TU102
1278,822658,4,TU,ESSENCE,2017-10-05,29,5143TU135
1330,551271,6,TU,GASOIL,2017-10-05,12,7153TU152
1366,840844,6,TU,ESSENCE,2017-10-05,30,5320TU63
1665,848628,4,TU,ESSENCE,2017-10-05,29,5607TU101
1686,848649,5,TU,ESSENCE,2017-10-05,96,6212TU136
1887,849847,6,TU,GASOIL,2017-10-05,29,310TU102
1995,850504,8,TU,GASOIL,2017-10-05,103,9576TU94
2083,850592,10,TU,GASOIL,2017-10-05,177,4119TU169
2208,573568,7,TU,GASOIL,2017-10-05,29,538TU143
2252,573612,5,TU,ESSENCE,2017-12-26,206,5637TU158
2318,574117,6,TU,GASOIL,2017-10-05,30,1356TU81
2361,574160,4,TU,ESSENCE,2017-10-05,30,4959TU84
2405,574204,4,TU,ESSENCE,2017-10-05,30,7842TU47
2572,575261,4,TU,ESSENCE,2017-10-05,119,5812TU89
2650,575779,8,TU,GASOIL,2017-10-25,376,9448TU200
2651,575780,7,TU,GASOIL,2017-10-25,12,9628TU124
2670,575799,9,TU,ESSENCE,2017-11-01,107,6611TU140
2704,575833,20,TU,GASOIL,2017-11-13,816,1652TU200
2705,575834,6,TU,ESSENCE,2017-11-16,178,781TU172
2799,576479,5,TU,GASOIL,2017-10-05,29,6149TU141
2837,576517,6,TU,ESSENCE,2017-10-05,198,2771TU138
2859,576539,8,TU,GASOIL,2017-10-16,30,3052TU103
3045,577606,5,TU,ESSENCE,2017-11-09,30,673TU201
3058,577619,6,TU,ESSENCE,2017-10-25,96,9280TU200
3062,577623,7,TU,ESSENCE,2017-10-12,29,2262TU156
3068,577629,5,TU,ESSENCE,2017-10-10,30,1812TU166
3071,577632,5,TU,ESSENCE,2017-10-05,808,7359TU158
3072,577633,8,TU,GASOIL,2017-10-05,103,2529TU70
